127.0.0.1 - - [03/Oct/2018:13:14:40 -0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [03/Oct/2018:13:14:41 -0700] "GET /CheckerBoard/ HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [03/Oct/2018:13:14:46 -0700] "GET /CheckerBoard/Draw HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [03/Oct/2018:13:16:09 -0700] "GET /CheckerBoard/Draw.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [03/Oct/2018:13:19:34 -0700] "GET /CheckerBoard/Draw.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [03/Oct/2018:13:22:47 -0700] "GET /CheckerBoard/Draw.jsp HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [03/Oct/2018:13:22:59 -0700] "GET /CheckerBoard/Draw.jsp HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [03/Oct/2018:13:23:22 -0700] "GET /CheckerBoard/Draw.jsp HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [03/Oct/2018:13:23:24 -0700] "GET /CheckerBoard/Draw.jsp HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [03/Oct/2018:13:23:24 -0700] "GET /CheckerBoard/Draw.jsp HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [03/Oct/2018:13:23:25 -0700] "GET /CheckerBoard/Draw.jsp HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [03/Oct/2018:13:23:48 -0700] "GET /CheckerBoard/Draw.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [03/Oct/2018:13:23:50 -0700] "GET /CheckerBoard/Draw.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [03/Oct/2018:13:23:50 -0700] "GET /CheckerBoard/Draw.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [03/Oct/2018:13:23:50 -0700] "GET /CheckerBoard/Draw.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [03/Oct/2018:13:23:50 -0700] "GET /CheckerBoard/Draw.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [03/Oct/2018:13:23:50 -0700] "GET /CheckerBoard/Draw.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [03/Oct/2018:13:23:51 -0700] "GET /CheckerBoard/Draw.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [03/Oct/2018:13:24:09 -0700] "GET /CheckerBoard/Draw.jsp HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [03/Oct/2018:13:26:19 -0700] "GET /CheckerBoard/Draw.jsp HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [03/Oct/2018:13:26:32 -0700] "GET /CheckerBoard/Draw.jsp HTTP/1.1" 200 784
